14.11 08:02:47 STATS: vdl.0 cache connection, 1338 calls, total 1.01886582374573 sec spent, avg 0.76 ms
14.11 08:03:28 STATS: vdl.0 cache, locks:2
14.11 08:04:28 STATS: vdl.0 cache, locks:2
14.11 08:04:28 STATS: vdl.0 cache, locks:2
14.11 08:04:28 STATS: vdl.0 cache, locks:2
14.11 08:07:28 STATS: vdl.0 cache, locks:2
14.11 08:08:02 STATS: vdl.0 cache connection, 1345 calls, total 1.0223183631897 sec spent, avg 0.76 ms
14.11 08:08:28 STATS: vdl.0 cache, locks:4
14.11 08:09:28 STATS: vdl.0 cache, locks:4
14.11 08:10:28 STATS: vdl.0 cache, locks:4
14.11 08:10:49 STATS: vdl.0 cache connection, 1352 calls, total 1.02594017982483 sec spent, avg 0.76 ms
14.11 08:11:28 STATS: vdl.0 cache, locks:4
14.11 08:12:28 STATS: vdl.0 cache, locks:4
14.11 08:13:28 STATS: vdl.0 cache, locks:4
14.11 08:14:28 STATS: vdl.0 cache, locks:4
14.11 08:15:28 STATS: vdl.0 cache, locks:4
14.11 08:16:28 STATS: vdl.0 cache, locks:4
14.11 08:17:28 STATS: vdl.0 cache, locks:4
14.11 08:18:28 STATS: vdl.0 cache, locks:4
14.11 08:19:28 STATS: vdl.0 cache, locks:4
14.11 08:20:28 STATS: vdl.0 cache, locks:4
14.11 08:21:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache, locks:4
14.11 08:22:28 STATS: vdl.0 cache connection, 1364 calls, total 1.03097248077393 sec spent, avg 0.76 ms
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
14.11 08:22:28 STATS: vdl.0 cache, locks:2
